mode,bit_accuracy,psnr,eval_direction_seed,image_id,image_index,epsilon,k,seed,vae_name,resolution
top_gain,100.0,34.87400308943075,50321,cifar10_00000_cat,0,2.0,20,321,stabilityai/sd-vae-ft-mse,256
random,100.0,34.504947057551156,50321,cifar10_00000_cat,0,2.0,20,321,stabilityai/sd-vae-ft-mse,256
bottom_gain,100.0,33.93758766595818,50321,cifar10_00000_cat,0,2.0,20,321,stabilityai/sd-vae-ft-mse,256
top_gain,100.0,35.669385614132054,50321,cifar10_00001_ship,1,2.0,20,321,stabilityai/sd-vae-ft-mse,256
random,100.0,36.28475200865048,50321,cifar10_00001_ship,1,2.0,20,321,stabilityai/sd-vae-ft-mse,256
bottom_gain,100.0,36.735045652424986,50321,cifar10_00001_ship,1,2.0,20,321,stabilityai/sd-vae-ft-mse,256
top_gain,100.0,37.14385063657642,50321,cifar10_00002_ship,2,2.0,20,321,stabilityai/sd-vae-ft-mse,256
random,100.0,36.54746236896935,50321,cifar10_00002_ship,2,2.0,20,321,stabilityai/sd-vae-ft-mse,256
bottom_gain,100.0,36.44171973588603,50321,cifar10_00002_ship,2,2.0,20,321,stabilityai/sd-vae-ft-mse,256
top_gain,100.0,36.829675363852004,50321,cifar10_00003_airplane,3,2.0,20,321,stabilityai/sd-vae-ft-mse,256
random,100.0,35.411462001956096,50321,cifar10_00003_airplane,3,2.0,20,321,stabilityai/sd-vae-ft-mse,256
bottom_gain,95.0,36.70116943502385,50321,cifar10_00003_airplane,3,2.0,20,321,stabilityai/sd-vae-ft-mse,256
top_gain,100.0,34.592807006502476,50321,cifar10_00004_frog,4,2.0,20,321,stabilityai/sd-vae-ft-mse,256
random,100.0,33.96618410193483,50321,cifar10_00004_frog,4,2.0,20,321,stabilityai/sd-vae-ft-mse,256
bottom_gain,100.0,33.87631715247724,50321,cifar10_00004_frog,4,2.0,20,321,stabilityai/sd-vae-ft-mse,256
top_gain,100.0,35.68946127834402,50321,cifar10_00005_frog,5,2.0,20,321,stabilityai/sd-vae-ft-mse,256
random,100.0,35.2842922024045,50321,cifar10_00005_frog,5,2.0,20,321,stabilityai/sd-vae-ft-mse,256
bottom_gain,100.0,34.228703563319065,50321,cifar10_00005_frog,5,2.0,20,321,stabilityai/sd-vae-ft-mse,256
top_gain,100.0,34.702464715745855,50321,cifar10_00006_automobile,6,2.0,20,321,stabilityai/sd-vae-ft-mse,256
random,100.0,35.2228342695967,50321,cifar10_00006_automobile,6,2.0,20,321,stabilityai/sd-vae-ft-mse,256
bottom_gain,100.0,34.77759182271587,50321,cifar10_00006_automobile,6,2.0,20,321,stabilityai/sd-vae-ft-mse,256
top_gain,100.0,36.748078034096515,50321,cifar10_00007_frog,7,2.0,20,321,stabilityai/sd-vae-ft-mse,256
random,100.0,35.970900475518455,50321,cifar10_00007_frog,7,2.0,20,321,stabilityai/sd-vae-ft-mse,256
bottom_gain,100.0,36.29391334433495,50321,cifar10_00007_frog,7,2.0,20,321,stabilityai/sd-vae-ft-mse,256
top_gain,100.0,37.178316109481784,50321,cifar10_00008_cat,8,2.0,20,321,stabilityai/sd-vae-ft-mse,256
