image_id,image_index,trial,eval_direction_index,carrier_mode,epsilon,k,seed,stability_seed,payload_seed,direction_seed,eval_direction_seed,heldout_direction_seed,num_stability_directions,num_eval_directions,heldout_eval,eval_protocol,vae_name,resolution,bit_accuracy,psnr,ssim,lpips
cifar10_00000_cat,0,0,0,topk,2.0,8,123,123,456,789,987,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,100.0,29.497957054352142,0.9221015671495515,0.09474276751279831
cifar10_00000_cat,0,0,0,random,2.0,8,123,123,456,789,987,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,100.0,30.67865275804721,0.9172722305252857,0.07371392101049423
cifar10_00000_cat,0,0,0,bottomk,2.0,8,123,123,456,789,987,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,100.0,29.901379124106032,0.9286754945914265,0.0454164519906044
cifar10_00000_cat,0,0,1,topk,2.0,8,123,123,456,789,988,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,100.0,28.29281455200064,0.9174251003515526,0.10059375315904617
cifar10_00000_cat,0,0,1,random,2.0,8,123,123,456,789,988,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,100.0,28.525810464162827,0.9054975712859546,0.06940437108278275
cifar10_00000_cat,0,0,1,bottomk,2.0,8,123,123,456,789,988,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,100.0,28.682232080028157,0.9235802462326914,0.0442020557820797
cifar10_00001_ship,1,0,0,topk,2.0,8,123,123,456,789,987,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,100.0,31.195505678064887,0.9443852385690253,0.08519219607114792
cifar10_00001_ship,1,0,0,random,2.0,8,123,123,456,789,987,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,100.0,31.72732875154274,0.9544156727225656,0.07344435900449753
cifar10_00001_ship,1,0,0,bottomk,2.0,8,123,123,456,789,987,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,100.0,34.24141180597503,0.9652892364421236,0.04354483261704445
cifar10_00001_ship,1,0,1,topk,2.0,8,123,123,456,789,988,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,100.0,29.77209473737315,0.9402174002858192,0.06967848539352417
cifar10_00001_ship,1,0,1,random,2.0,8,123,123,456,789,988,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,100.0,29.99530746449773,0.9481500612878486,0.0711030513048172
cifar10_00001_ship,1,0,1,bottomk,2.0,8,123,123,456,789,988,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,100.0,34.21953217032528,0.9550098440015441,0.04833965376019478
cifar10_00002_ship,2,0,0,topk,2.0,8,123,123,456,789,987,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,100.0,32.075194301176985,0.9354709618131384,0.11119899898767471
cifar10_00002_ship,2,0,0,random,2.0,8,123,123,456,789,987,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,100.0,33.46097721155492,0.9403270202127341,0.11131951212882996
cifar10_00002_ship,2,0,0,bottomk,2.0,8,123,123,456,789,987,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,75.0,32.74227587818863,0.9564046539087786,0.057383887469768524
cifar10_00002_ship,2,0,1,topk,2.0,8,123,123,456,789,988,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,100.0,29.059178824488008,0.926483103461866,0.14729277789592743
cifar10_00002_ship,2,0,1,random,2.0,8,123,123,456,789,988,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,100.0,31.73586562791553,0.9354052672469874,0.07962282001972198
cifar10_00002_ship,2,0,1,bottomk,2.0,8,123,123,456,789,988,987,2,2,True,heldout_direction,stabilityai/sd-vae-ft-mse,128,100.0,32.55139692577946,0.9543315675436049,0.0856204479932785
