epsilon,detector,auc,accuracy,operating_point,target_fpr,threshold,achieved_fpr,precision,recall,tn,fp,fn,tp
1.0,LR-Latent,0.21666666666666665,0.3,0.1%,0.001,1.4857816274820048,0.03333333333333333,0.0,0.0,29,1,30,0
1.0,LR-Latent,0.21666666666666665,0.3,1%,0.01,1.4857816274820048,0.03333333333333333,0.0,0.0,29,1,30,0
1.0,LR-Latent,0.21666666666666665,0.3,5%,0.05,1.4771710022945659,0.06666666666666667,0.0,0.0,28,2,30,0
1.0,MLP-Latent,0.3499999999999999,0.36666666666666664,0.1%,0.001,1.0,0.2,0.25,0.06666666666666667,24,6,28,2
1.0,MLP-Latent,0.3499999999999999,0.36666666666666664,1%,0.01,1.0,0.2,0.25,0.06666666666666667,24,6,28,2
1.0,MLP-Latent,0.3499999999999999,0.36666666666666664,5%,0.05,1.0,0.2,0.25,0.06666666666666667,24,6,28,2
1.0,LR-Residual,1.0,0.9666666666666667,0.1%,0.001,-2.28466143415657,0.2,0.8333333333333334,1.0,24,6,0,30
1.0,LR-Residual,1.0,0.9666666666666667,1%,0.01,-2.28466143415657,0.2,0.8333333333333334,1.0,24,6,0,30
1.0,LR-Residual,1.0,0.9666666666666667,5%,0.05,-2.28466143415657,0.2,0.8333333333333334,1.0,24,6,0,30
1.0,MLP-Residual,1.0,1.0,0.1%,0.001,0.006875856588324782,0.2,0.8333333333333334,1.0,24,6,0,30
1.0,MLP-Residual,1.0,1.0,1%,0.01,0.006875856588324782,0.2,0.8333333333333334,1.0,24,6,0,30
1.0,MLP-Residual,1.0,1.0,5%,0.05,0.006875856588324782,0.2,0.8333333333333334,1.0,24,6,0,30
1.0,LR-Spectral,1.0,1.0,0.1%,0.001,-4.582669736687188,0.2,0.8333333333333334,1.0,24,6,0,30
1.0,LR-Spectral,1.0,1.0,1%,0.01,-4.582669736687188,0.2,0.8333333333333334,1.0,24,6,0,30
1.0,LR-Spectral,1.0,1.0,5%,0.05,-4.582669736687188,0.2,0.8333333333333334,1.0,24,6,0,30
1.0,LR-Combined,1.0,1.0,0.1%,0.001,-3.518199473927297,0.03333333333333333,0.967741935483871,1.0,29,1,0,30
1.0,LR-Combined,1.0,1.0,1%,0.01,-3.518199473927297,0.03333333333333333,0.967741935483871,1.0,29,1,0,30
1.0,LR-Combined,1.0,1.0,5%,0.05,-3.6948267396779038,0.06666666666666667,0.9375,1.0,28,2,0,30
1.0,MLP-Combined,1.0,1.0,0.1%,0.001,0.015858287711653988,0.03333333333333333,0.967741935483871,1.0,29,1,0,30
1.0,MLP-Combined,1.0,1.0,1%,0.01,0.015858287711653988,0.03333333333333333,0.967741935483871,1.0,29,1,0,30
1.0,MLP-Combined,1.0,1.0,5%,0.05,0.012556216278366701,0.06666666666666667,0.9375,1.0,28,2,0,30
2.0,LR-Latent,0.8677777777777778,0.75,0.1%,0.001,1.3759703409320865,0.03333333333333333,0.9285714285714286,0.43333333333333335,29,1,17,13
2.0,LR-Latent,0.8677777777777778,0.75,1%,0.01,1.3759703409320865,0.03333333333333333,0.9285714285714286,0.43333333333333335,29,1,17,13
2.0,LR-Latent,0.8677777777777778,0.75,5%,0.05,0.8253994997307905,0.06666666666666667,0.8823529411764706,0.5,28,2,15,15
2.0,MLP-Latent,0.8222222222222223,0.8,0.1%,0.001,0.9999990762766873,0.03333333333333333,0.8888888888888888,0.26666666666666666,29,1,22,8
2.0,MLP-Latent,0.8222222222222223,0.8,1%,0.01,0.9999990762766873,0.03333333333333333,0.8888888888888888,0.26666666666666666,29,1,22,8
2.0,MLP-Latent,0.8222222222222223,0.8,5%,0.05,0.9999863253194979,0.06666666666666667,0.8181818181818182,0.3,28,2,21,9
2.0,LR-Residual,1.0,0.9833333333333333,0.1%,0.001,-3.270081528379237,0.2,0.8333333333333334,1.0,24,6,0,30
2.0,LR-Residual,1.0,0.9833333333333333,1%,0.01,-3.270081528379237,0.2,0.8333333333333334,1.0,24,6,0,30
2.0,LR-Residual,1.0,0.9833333333333333,5%,0.05,-3.270081528379237,0.2,0.8333333333333334,1.0,24,6,0,30
2.0,MLP-Residual,1.0,1.0,0.1%,0.001,0.0074394454264746415,0.2,0.8333333333333334,1.0,24,6,0,30
2.0,MLP-Residual,1.0,1.0,1%,0.01,0.0074394454264746415,0.2,0.8333333333333334,1.0,24,6,0,30
2.0,MLP-Residual,1.0,1.0,5%,0.05,0.0074394454264746415,0.2,0.8333333333333334,1.0,24,6,0,30
2.0,LR-Spectral,1.0,1.0,0.1%,0.001,-4.582822011377039,0.2,0.8333333333333334,1.0,24,6,0,30
2.0,LR-Spectral,1.0,1.0,1%,0.01,-4.582822011377039,0.2,0.8333333333333334,1.0,24,6,0,30
2.0,LR-Spectral,1.0,1.0,5%,0.05,-4.582822011377039,0.2,0.8333333333333334,1.0,24,6,0,30
2.0,LR-Combined,1.0,1.0,0.1%,0.001,-3.7154336033026563,0.03333333333333333,0.967741935483871,1.0,29,1,0,30
2.0,LR-Combined,1.0,1.0,1%,0.01,-3.7154336033026563,0.03333333333333333,0.967741935483871,1.0,29,1,0,30
2.0,LR-Combined,1.0,1.0,5%,0.05,-3.8991026721587554,0.06666666666666667,0.9375,1.0,28,2,0,30
2.0,MLP-Combined,1.0,1.0,0.1%,0.001,0.011154098653434112,0.03333333333333333,0.967741935483871,1.0,29,1,0,30
2.0,MLP-Combined,1.0,1.0,1%,0.01,0.011154098653434112,0.03333333333333333,0.967741935483871,1.0,29,1,0,30
2.0,MLP-Combined,1.0,1.0,5%,0.05,0.00841145746700427,0.06666666666666667,0.9375,1.0,28,2,0,30
5.0,LR-Latent,1.0,0.9833333333333333,0.1%,0.001,-0.7053659709410414,0.03333333333333333,0.967741935483871,1.0,29,1,0,30
5.0,LR-Latent,1.0,0.9833333333333333,1%,0.01,-0.7053659709410414,0.03333333333333333,0.967741935483871,1.0,29,1,0,30
5.0,LR-Latent,1.0,0.9833333333333333,5%,0.05,-0.8888493167880449,0.06666666666666667,0.9375,1.0,28,2,0,30
5.0,MLP-Latent,0.9977777777777778,0.9833333333333333,0.1%,0.001,0.46210558845577476,0.03333333333333333,0.9666666666666667,0.9666666666666667,29,1,1,29
