epsilon,image_index,class_index,class_name,bit_accuracy,psnr,ssim,lpips
2.0,0,0,airplane,90.0,37.96485454061551,0.9774551907264882,0.049432720988988876
2.0,1,0,airplane,100.0,39.77307417253407,0.9871702360933087,0.030174124985933304
2.0,2,0,airplane,100.0,38.060795253939204,0.9867751515950026,0.03765861690044403
2.0,3,0,airplane,100.0,39.241093411283785,0.9833619294170933,0.03810904920101166
2.0,4,0,airplane,100.0,36.08976251797914,0.9699143631232975,0.029313497245311737
2.0,5,0,airplane,95.0,38.670912921561666,0.9816563603246866,0.042091965675354004
2.0,6,0,airplane,95.0,40.012381198574786,0.9820906062308898,0.038988951593637466
2.0,7,0,airplane,95.0,38.2434880242102,0.9822854849625203,0.05068457871675491
2.0,8,0,airplane,90.0,41.521417559298975,0.9899260382593086,0.02253403142094612
2.0,9,0,airplane,100.0,34.2587672171669,0.9776124103332245,0.05553637817502022
2.0,10,0,airplane,95.0,39.67166084067457,0.9839267895240126,0.030601678416132927
2.0,11,0,airplane,95.0,39.353163975308405,0.9855308302752154,0.03310055285692215
2.0,12,0,airplane,95.0,36.568933897448275,0.9766082916509423,0.035126738250255585
2.0,13,0,airplane,95.0,38.45465071381669,0.98539777033396,0.027468157932162285
2.0,14,0,airplane,100.0,41.7620165965289,0.9877674279701821,0.023365747183561325
2.0,15,0,airplane,100.0,40.70953696014116,0.9850448948590836,0.029307035729289055
2.0,16,0,airplane,95.0,39.159162928093636,0.983846863571046,0.034562960267066956
2.0,17,0,airplane,90.0,37.22236730943311,0.9883827591524671,0.024097509682178497
2.0,18,0,airplane,100.0,36.75975373626527,0.967402607492749,0.047221168875694275
2.0,19,0,airplane,100.0,38.2482492184107,0.9810899145260068,0.02454131469130516
2.0,20,0,airplane,100.0,39.045586442769704,0.9802942351515824,0.03942064195871353
2.0,21,0,airplane,100.0,36.80292441109657,0.9847302135009491,0.07028962671756744
2.0,22,0,airplane,100.0,38.30452094507879,0.9838772743269515,0.023711949586868286
2.0,23,0,airplane,100.0,37.87438396712231,0.9755764015815528,0.05017838999629021
2.0,24,0,airplane,90.0,38.1068497917332,0.9807089278596982,0.022661980241537094
2.0,25,0,airplane,100.0,40.94585350429578,0.9876531869783388,0.03296263888478279
2.0,26,0,airplane,100.0,36.43285945829178,0.98485940549066,0.06856589019298553
2.0,27,0,airplane,100.0,40.7272972957626,0.9855646511435756,0.03533162921667099
2.0,28,0,airplane,90.0,38.31020817140573,0.9779465132763665,0.05947623401880264
2.0,29,0,airplane,100.0,42.28976249430866,0.9878746754033707,0.03837640583515167
2.0,30,1,automobile,100.0,37.2464339875856,0.9779857283256571,0.027860485017299652
2.0,31,1,automobile,90.0,36.817544968955445,0.9782640046322214,0.05622972175478935
2.0,32,1,automobile,100.0,38.570855221104,0.9865515909329933,0.019846312701702118
2.0,33,1,automobile,95.0,40.590356241058636,0.9841668379052261,0.04094604775309563
2.0,34,1,automobile,75.0,37.34939849402815,0.9647952693883709,0.01621498540043831
2.0,35,1,automobile,95.0,37.28153193996808,0.9744540392326826,0.038817815482616425
2.0,36,1,automobile,100.0,38.11724611175594,0.9828688466762521,0.03941940516233444
2.0,37,1,automobile,100.0,36.14284738766382,0.9787604710534931,0.03713436797261238
2.0,38,1,automobile,90.0,37.342948311414816,0.977563968036093,0.03532920032739639
2.0,39,1,automobile,100.0,37.293342920327646,0.9774540476660863,0.03979311138391495
2.0,40,1,automobile,100.0,36.78846362460993,0.981892775773498,0.02549416944384575
2.0,41,1,automobile,100.0,37.34581273329645,0.9784493382932066,0.060842953622341156
2.0,42,1,automobile,100.0,41.327846006583925,0.9878218762566292,0.02245934307575226
2.0,43,1,automobile,100.0,37.59630538746827,0.979705337997487,0.03776741772890091
2.0,44,1,automobile,100.0,39.93961231095247,0.985478753954613,0.05002671480178833
2.0,45,1,automobile,100.0,39.89475199903697,0.9828219187947614,0.03228185325860977
2.0,46,1,automobile,100.0,35.45930816293095,0.9697833161767692,0.03199205920100212
2.0,47,1,automobile,100.0,39.70510984178374,0.980566915772704,0.03010001964867115
